"asteroid","lat","lon","diameter","cs"
"phobos",-39.4158428537828,351.99988538379,0.254997881852483,0.0510696671479661
"phobos",-37.1887024299088,352.161930582167,0.315332794251876,0.0780958866238942
"phobos",-43.7547037104724,347.515667330557,0.209325351172437,0.0344138719415742
"phobos",-4.88329095915247,336.214016086205,0.262009961519129,0.053916971255817
"phobos",-5.61170636633481,335.662073036035,0.249730258599093,0.048981515157811
"phobos",-6.9670066130556,334.52055568761,0.246118800664531,0.0475750728062306
"phobos",-7.71846395202256,334.090693057571,0.182564114078198,0.0261770504120574
"phobos",-8.36330115649459,333.78195005977,0.230487942975633,0.0417240354156522
"phobos",-10.1522558722888,332.223709368556,0.227424219088368,0.0406221874287703
"phobos",-10.9198408521459,331.441390926261,0.217430767346343,0.037130592420182
"phobos",-11.7274062873395,330.857988452889,0.184525104342977,0.0267424258644661
"phobos",-14.3566980150312,328.172985977667,0.222084102741652,0.0387368966778548
"phobos",30.9442972337309,341.86857947962,0.961389354109725,0.725919560083853
"phobos",36.9806558854488,348.731705181586,0.423117934380323,0.140608880029335
"phobos",40.1126487053337,350.415474607864,0.389588326714533,0.119206998353009
"phobos",42.3016250381349,352.115498529128,0.359619719218166,0.101572671839574
"phobos",38.7206879609873,349.377060165987,0.393962597909597,0.121898922471782
"phobos",-21.1107454214131,355.404648734562,0.626310221143893,0.308083812454085
"phobos",-22.8901775437406,353.860769127909,0.477257880655852,0.178894133150328
"phobos",-17.6459418926458,358.067324406002,0.435907264095015,0.149237544244139
"phobos",-15.7691697241822,358.08607154912,0.157771741126462,0.0195500700563405
"phobos",-14.0869363392055,0.244790072024074,0.35419847844107,0.0985333534830356
"phobos",-19.1366646387408,356.735132055535,0.445567218492942,0.155925212201002
"phobos",-19.8798827597172,356.013753240093,0.308114302831622,0.0745613219460309
"phobos",-23.4508758141389,353.1652085707,0.255055579165922,0.0510927804062159
"phobos",-23.9441600346839,352.823564325379,0.310600520025721,0.0757694680778351
"phobos",-23.7958863764608,351.220439265073,0.249590525209371,0.048926716525481
"phobos",-23.7384955280935,356.144788906011,0.428147815592285,0.143971770869381
"phobos",-24.4123432852791,355.752607452021,0.393770241073191,0.121779914389237
"phobos",-24.7814100734546,355.181379262228,0.328431724692222,0.084718856110257
"phobos",-25.322449015938,354.997031719249,0.287845243362906,0.0650740738215796
"phobos",-25.5848269591615,352.163820295099,0.391312151001416,0.12026425047394
"phobos",-26.6915732262846,352.031034613659,0.238879713439911,0.0448175818361056
"phobos",-27.6737117773807,351.397538510508,0.296240217057423,0.0689251810981751
"phobos",-25.7695379265387,350.195073733088,0.204191629002393,0.0327465648762294
"phobos",-30.3547850770989,346.554168533175,0.243309904813099,0.0464953433349993
"phobos",-32.4013254515101,345.352662952841,0.175343303589756,0.0241472818221057
"phobos",-34.4738588141252,344.022522436445,0.243020889444443,0.0463849500673908
"phobos",-38.0629774530262,344.947330499248,0.698722296495858,0.383441473868136
"phobos",-37.224619322551,346.649514228448,0.334137545712231,0.0876880551788206
"phobos",-47.1364083265141,344.299357097326,0.971445157262449,0.741184718516545
"phobos",-25.0925583565533,357.953821467399,0.140323316711281,0.0154649871615086
"phobos",-26.1623201728927,357.488126821899,0.330430388717037,0.0857531029719963
"phobos",-27.2961213554149,356.918732158673,0.272278388480999,0.0582259019053876
"phobos",-29.4843271825877,355.860941572734,0.152905412106582,0.0183626601515482
"phobos",-30.5235812005781,355.132285259257,0.0976782533482881,0.0074935162174506
"phobos",-30.9399945232199,354.867567821841,0.149318837562239,0.0175113279689848
"phobos",-31.6068545206234,354.688944071491,0.151688971323583,0.0180716536148686
"phobos",-32.129943362739,354.317265950604,0.0810482395031714,0.00515913690689662
"phobos",-42.3497049432781,351.498909039085,0.366035431697708,0.105229167450965
"phobos",-1.27060519281002,354.481018853979,0.206709713725445,0.0335592040988194
"phobos",-2.14116290267809,354.095199439634,0.167542613650651,0.022046540656833
"phobos",-3.0377359727873,353.506012501729,0.232084965214367,0.0423042398433813
"phobos",15.8012491712839,340.151845866314,0.308918306828986,0.0749509553710391
"phobos",14.8776440635045,340.163360965129,0.186069294175832,0.0271918841809879
"phobos",46.6830189342058,357.164605078167,0.708369640102637,0.394103017844543
"phobos",48.129029626518,0.939472199282517,0.735353762950346,0.424700252926648
