"asteroid","lat","lon","diameter","cs"
"Eros",-53.3138463444787,99.1373989774489,0.163521107392809,0.0210008813137614
"Eros",-55.3380028590249,97.0891013813851,0.22347020331534,0.039221945294031
"Eros",-57.6925382057958,96.403120234419,0.276796710606427,0.0601743947706826
"Eros",-51.8878547131065,71.483494817888,0.0655179269181146,0.00337139917260446
"Eros",-52.7660478064777,71.3775216008394,0.0571638905080082,0.00256645372940505
"Eros",-53.3008824336332,71.5411563228745,0.0704068904258311,0.00389332097006623
"Eros",-53.1956857311709,64.2085632209066,0.106327432241033,0.00887933688025925
"Eros",-53.2876196761104,63.5205006397584,0.123832846997695,0.0120437462525907
"Eros",-53.1575828628231,62.533337983951,0.0701257479420823,0.003862290128178
"Eros",-53.3497383826293,61.4613740526079,0.0862185920344252,0.0058383716113254
"Eros",-53.3262153579763,60.3664006894292,0.0838531780108901,0.00552241366646255
"Eros",-53.3949887755535,58.8157302431184,0.107951173847584,0.00915260288863804
"Eros",-53.4821697082556,57.4402157687508,0.096226170402016,0.00727237534250777
"Eros",-53.55612647105,55.9491776876744,0.0939299297568751,0.00692943581638966
"Eros",-53.4511456795468,54.5550192520733,0.0716700955082376,0.00403427824041416
"Eros",-53.4167350725351,51.9072677987927,0.0862715405618989,0.00584554473013284
"Eros",-46.9261606344216,48.2880149711199,0.114557994712073,0.010307199620619
"Eros",-47.1087187722655,46.8919281248739,0.0635691856968047,0.00317382647033272
"Eros",-47.0303084311417,46.267646998576,0.0689267515822354,0.00373134584401193
"Eros",-46.9731782535062,45.8524357118232,0.0760220008019582,0.00453908663914067
"Eros",-46.9849620555613,44.1328106949735,0.0821754640041028,0.0053036421246987
"Eros",-46.9466035880904,43.087896758507,0.0589661948420074,0.00273083894426858
"Eros",-46.8587075338552,42.3379940655183,0.100112456808001,0.00787165624063195
"Eros",-53.9154646499839,44.2394466154078,0.0526075700487545,0.00217363373442055
"Eros",-54.1775002508283,43.3408296661668,0.0500518508680495,0.00196756987770008
"Eros",-53.7054698249741,46.8091610091087,0.0553858082793932,0.00240927779179194
"Eros",-53.6907152262554,47.5711680586749,0.0508788839144214,0.00203312946026634
"Eros",-53.9705181284772,45.0262236349388,0.0590026237355915,0.00273421417209274
"Eros",-56.4917276048226,39.6985956231892,0.0511371180931911,0.0020538200040126
"Eros",-56.5579760995345,38.9110399321995,0.0387434321462984,0.00117892468913778
"Eros",-53.7642633609963,31.5559981007391,0.140395227943091,0.0154808418499854
"Eros",-53.8129500896976,32.9914385252471,0.102109393751178,0.00818881909169873
"Eros",-46.140458422674,112.636202672037,0.136315108750632,0.0145941185620037
"Eros",-45.7507016341356,111.482706864681,0.144043343444754,0.0162958218479296
"Eros",-44.5787436309314,109.268686552813,0.156306198820902,0.0191885555949499
"Eros",-55.9922743070319,37.6961260082357,0.0359205753420285,0.00101338961567576
"Eros",-55.9126853962657,36.704177105689,0.0444611517126374,0.00155257038613683
"Eros",-55.964750857232,37.206986904801,0.0335620023467844,0.000884678775634368
"Eros",-55.8666047096573,36.2987638090061,0.0361673302424632,0.00102736031273634
"Eros",25.0238831943185,29.9378348743795,0.082180072453596,0.0053042370042654
"Eros",24.9300499776454,29.4138037354479,0.0977346514500076,0.00750217202532877
"Eros",24.9124781462786,29.0082736380746,0.108975568674771,0.00932713299480488
"Eros",25.0433584868111,27.9896631148797,0.0916713276579295,0.00660019738572874
"Eros",25.1728619801709,27.5856515678373,0.0920284634666087,0.0066517240397105
"Eros",-53.9061418315969,34.7065978712123,0.122648292367008,0.0118144332562904
"Eros",-53.7899084578418,36.4592363768848,0.0976885430002567,0.00749509506908849
"Eros",-53.7004954135063,37.5851361353223,0.0966568983766146,0.00733762632681227
"Eros",-53.5257829685328,27.4039233841614,0.151294380780162,0.0179777558357362
"Eros",-53.3728497964454,25.6070712978336,0.107011717756079,0.00899399314485526
"Eros",-53.3147286903554,24.4091013646423,0.0965421338904095,0.00732021217425541
"Eros",31.0411213539022,16.6603849703035,0.182227995277975,0.0260807500052448
"Eros",30.8442402901645,15.9691448093028,0.182578589725409,0.0261812017730356
"Eros",30.4258684645895,15.2712035407511,0.113306519054546,0.0100832300672286
"Eros",28.7438250554471,16.7565482231141,0.118586418818392,0.0110448491694437
"Eros",28.7794168180926,15.8197900907565,0.139956088931849,0.0153841489687426
"Eros",23.2437712053475,7.14318138145548,0.154686547619285,0.0187929507163952
"Eros",23.2613783653411,6.0529184638005,0.159725046403646,0.0200371489827968
"Eros",23.3433949442121,4.79049393207204,0.112144434453226,0.00987746118225524
