#Image_Name Image_Time_UTC Pointing
h2813_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2813_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2813_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2846_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2846_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2846_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2854_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2854_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2912_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2912_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2912_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2979_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2979_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2979_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h2979_0008_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3005_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3005_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3005_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3245_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3245_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3245_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3245_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3310_0002_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3310_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3310_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3310_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3310_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3761_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3761_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3769_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3769_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3769_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3802_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3802_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3802_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3835_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3835_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3835_0007_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3843_0003_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3843_0004_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3843_0005_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
h3843_0006_sr2.FIT 2022-08-21T21:31:54.225 SPC_Derived
